,N submissions (2020),N made (2020),N assayed (2020),N crystallised (2020),Mdn shipment date (2020),Mdn N words (2020),Gmean IC50 (2020),Min IC50 (2020),made-over-submitted % (2020),crystal-over-made % (2020),N IC50 ≤ 50 µM (2020),N IC50 ≤ 20 µM (2020),N IC50 ≤ 1 µM (2020),N IC50 ≤ 0.1 µM (2020),sub50-over-assayed % (2020)
Matthew Robinson,488,199,135,44,2020-09-01 00:00:00,15,12.522668529696311,0.1,41±2%,22±3%,50,37,9,0,37±4%
Alpha Lee,363,207,192,23,2020-10-01 00:00:00,5,20.82948396086937,0.05,57±3%,11±2%,29,24,6,1,15±3%
Nir London,368,269,138,22,2020-05-20 00:00:00,13,14.17241298369724,0.504,73±2%,8±2%,14,11,1,0,10±3%
Ed Griffen,358,62,50,21,2020-08-26 00:00:00,19,34.541565487157925,0.231,17±2%,34±6%,15,9,4,0,30±6%
Jan Hullaert,137,36,11,18,2020-06-10 00:00:00,18,29.27419017366767,8.3,26±4%,50±8%,6,4,0,0,55±15%
Bart Lenselink,169,79,3,13,2020-04-27 00:00:00,36,46.24316165661684,35.7,47±4%,16±4%,1,0,0,0,33±27%
Tryfon Zarganis,65,24,12,13,2020-04-17 00:00:00,52,26.875338537918996,3.63,37±6%,54±10%,7,4,0,0,58±14%
Benjamin Perry,131,32,16,10,2020-06-24 00:00:00,39,22.252547037664606,0.638,24±4%,31±8%,9,7,1,0,56±12%
Peter Kenny,67,12,12,9,2020-10-03 12:00:00,99,7.802783118312089,0.285,18±5%,75±12%,9,9,1,0,75±12%
Daren Fearon,681,25,8,8,2020-04-27 00:00:00,12,15.51917381557127,2.75,4±1%,32±9%,4,3,0,0,50±18%
Jag Heer,128,53,26,7,2020-06-30 00:00:00,12,89.82553004374813,26.0,41±4%,13±5%,1,0,0,0,4±4%
Lori Ferrins,34,33,21,7,2020-07-21 00:00:00,69,,,97±3%,21±7%,0,0,0,0,0±0%
Eric Jnoff,89,16,12,7,2020-09-22 00:00:00,14,15.624003860422185,1.1,18±4%,44±12%,9,6,0,0,75±12%
Med-Chem team,70,21,10,4,2020-06-10 00:00:00,35,12.037809410215097,0.543,30±5%,19±9%,7,4,1,0,70±14%
Nauris Narvaiss,157,20,3,4,2020-06-30 00:00:00,23,23.978105611266677,3.74,13±3%,20±9%,1,1,0,0,33±27%
Gabriel Grand,66,10,1,4,2020-05-13 00:00:00,232,98.99999999999999,99.0,15±4%,40±15%,0,0,0,0,0±0%
Duncan Miller,25,8,4,4,2020-05-16 12:00:00,32,15.162552091331275,10.6,32±9%,50±18%,3,3,0,0,75±22%
