,N submissions,N made,N assayed,N crystallised,Mdn shipment date,Mdn N words,Gmean IC50,Min IC50,made-over-submitted %,crystal-over-made %,N IC50 ≤ 50 µM,N IC50 ≤ 20 µM,N IC50 ≤ 1 µM,N IC50 ≤ 0.1 µM,sub50-over-assayed %
Matthew Robinson,795,464,382,99,2021-02-11 00:00:00,11,2.4644624618771243,0.0416,58±2%,21±2%,179,159,80,11,47±3%
Ed Griffen,740,188,176,56,2021-02-17 00:00:00,19,5.210910139463052,0.0396,25±2%,30±3%,121,105,53,6,69±3%
anonymous,1760,349,326,55,2021-11-03 00:00:00,0,0.6839431978341135,0.0197,20±1%,16±2%,184,179,125,28,56±3%
Alpha Lee,765,398,382,42,2020-06-10 00:00:00,6,5.885357894830925,0.05,52±2%,11±2%,72,65,31,3,19±2%
Aaron Morris,81,52,3,39,2021-04-16 00:00:00,17,37.800000000000004,37.8,64±5%,75±6%,1,0,0,0,33±27%
DSi-Poised Library,40,34,1,34,2020-02-01 00:00:00,12,,,85±6%,100±0%,0,0,0,0,0±0%
Nir London,385,280,149,23,2020-05-20 00:00:00,11,14.17241298369724,0.504,73±2%,8±2%,14,11,1,0,9±2%
Jan Hullaert,137,36,11,18,2020-06-10 00:00:00,18,29.27419017366767,8.3,26±4%,50±8%,6,4,0,0,55±15%
Ralph Robinson,199,51,51,17,2021-01-20 00:00:00,26,5.729401493898662,0.186,26±3%,33±7%,37,27,12,0,73±6%
Bart Lenselink,169,79,3,13,2020-04-27 00:00:00,36,46.24316165661684,35.7,47±4%,16±4%,1,0,0,0,33±27%
Benjamin Perry,241,57,40,13,2020-09-22 00:00:00,19,12.201020876725304,0.176,24±3%,23±6%,16,14,3,0,40±8%
Peter Kenny,604,29,29,13,2021-01-20 00:00:00,150,4.212785206152357,0.084,5±1%,45±9%,20,19,4,2,69±9%
Tryfon Zarganis,65,24,12,13,2020-04-17 00:00:00,52,26.875338537918996,3.63,37±6%,54±10%,7,4,0,0,58±14%
Daren Fearon,833,32,15,8,2020-05-02 00:00:00,15,8.675744325734017,0.522,4±1%,25±8%,9,7,1,0,60±13%
Jag Heer,144,53,26,7,2020-06-30 00:00:00,13,89.82553004374813,26.0,37±4%,13±5%,1,0,0,0,4±4%
Lori Ferrins,34,33,21,7,2020-07-21 00:00:00,69,,,97±3%,21±7%,0,0,0,0,0±0%
Eric Jnoff,114,16,12,7,2020-09-22 00:00:00,14,15.624003860422185,1.1,14±3%,44±12%,9,6,0,0,75±12%
Med-Chem team,72,23,12,6,2020-06-10 00:00:00,35,9.807114240838745,0.543,32±5%,26±9%,9,6,1,0,75±12%
Vladas Oleinikovas,142,13,12,6,2021-01-28 00:00:00,15,3.8825203473848116,0.359,9±2%,46±14%,7,6,3,0,58±14%
Michal K,277,15,15,5,2021-01-08 00:00:00,25,6.020640337873795,0.208,5±1%,33±12%,7,7,6,0,47±13%
Bruce Lefker,110,33,30,4,,15,7.780000000000001,7.78,30±4%,12±6%,1,1,0,0,3±3%
Nauris Narvaiss,157,20,3,4,2020-06-30 00:00:00,23,23.978105611266677,3.74,13±3%,20±9%,1,1,0,0,33±27%
Gabriel Grand,66,10,1,4,2020-05-13 00:00:00,232,98.99999999999999,99.0,15±4%,40±15%,0,0,0,0,0±0%
Duncan Miller,25,8,4,4,2020-05-16 12:00:00,32,15.162552091331275,10.6,32±9%,50±18%,3,3,0,0,75±22%
Tetiana Matviyuk,45,9,9,3,2020-09-22 00:00:00,136,2.526657564265606,0.719,20±6%,33±16%,8,8,2,0,89±10%
Warren Thompson,231,35,8,2,2020-04-27 00:00:00,79,30.427055979214817,14.2,15±2%,6±4%,3,2,0,0,38±17%
John Chodera,70,17,15,2,2020-09-22 00:00:00,22,24.651969797077168,1.14,24±5%,12±8%,6,4,0,0,40±13%
Ruby Pai,18,11,11,2,2021-04-07 00:00:00,20,22.747092092302008,0.537,61±11%,18±12%,5,3,1,0,45±15%
Benjamin Merget,26,6,4,2,2020-07-11 00:00:00,55,0.563,0.563,23±8%,33±19%,1,1,1,0,25±22%
Mark Calmiano,114,4,4,2,2020-10-09 12:00:00,13,20.291912299033527,3.24,4±2%,50±25%,2,2,0,0,50±25%
David Briggs,71,3,3,2,2020-05-26 00:00:00,12,10.877817581469433,0.466,4±2%,67±27%,2,1,1,0,67±27%
Daniel Zaidman,10,3,3,2,,87,2.17,2.17,30±14%,67±27%,1,1,0,0,33±27%
Jordi JuarezJimenez,46,2,2,2,2020-05-26 00:00:00,94,3.0599999999999996,3.06,4±3%,100±0%,1,1,0,0,50±35%
Adam Smalley,27,2,2,2,2020-07-11 00:00:00,10,0.728,0.728,7±5%,100±0%,1,1,1,0,50±35%
Adam Nelson,12,2,0,2,2020-06-20 00:00:00,20,,,17±11%,100±0%,0,0,0,0,nan±nan%
Viromics githubsubmission,3,2,0,2,2021-04-16 00:00:00,3102,,,67±27%,100±0%,0,0,0,0,nan±nan%
John Spencer,228,30,16,1,2020-05-30 00:00:00,40,24.535178825515004,6.05,13±2%,3±3%,1,1,0,0,6±6%
Jin Pan,21,17,17,1,2021-04-07 00:00:00,20,16.636038651633076,0.425,81±9%,6±6%,10,7,2,0,59±12%
Aaron Keeley,14,14,14,1,2020-09-01 00:00:00,120,,,100±0%,7±7%,0,0,0,0,0±0%
Steven Verhelst,12,7,5,1,2021-03-03 00:00:00,65,,,58±14%,14±13%,0,0,0,0,0±0%
Anna Cederbalk,10,7,2,1,2020-06-24 00:00:00,172,,,70±14%,14±13%,0,0,0,0,0±0%
Kadi Saar,108,6,6,1,2021-03-20 12:00:00,5,8.91443621059513,1.67,6±2%,17±15%,5,3,0,0,83±15%
