,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
0,nitrile,730,33,697,0.0452,24,706,0.0329,0.7273,730,0,1.0,30.4167,12,718,0.0164,0.5
1,superimpose,56,13,43,0.2321,5,51,0.0893,0.3846,56,0,1.0,11.2,4,52,0.0714,0.8
2,ethylamine,12,1,11,0.0833,1,11,0.0833,1.0,12,0,1.0,12.0,0,12,0.0,0.0
3,structure,5993,358,5635,0.0597,268,5725,0.0447,0.7486,5993,0,1.0,22.3619,154,5839,0.0257,0.5746
4,maybe,92,10,82,0.1087,8,84,0.087,0.8,92,0,1.0,11.5,4,88,0.0435,0.5
5,merge,395,59,336,0.1494,27,368,0.0684,0.4576,395,0,1.0,14.6296,12,383,0.0304,0.4444
6,heterocycle,289,15,274,0.0519,10,279,0.0346,0.6667,289,0,1.0,28.9,9,280,0.0311,0.9
7,explore,372,50,322,0.1344,47,325,0.1263,0.94,372,0,1.0,7.9149,28,344,0.0753,0.5957
8,fragalysis,423,39,384,0.0922,36,387,0.0851,0.9231,423,0,1.0,11.75,10,413,0.0236,0.2778
9,observation,46,6,40,0.1304,4,42,0.087,0.6667,46,0,1.0,11.5,3,43,0.0652,0.75
10,overlap,186,37,149,0.1989,17,169,0.0914,0.4595,186,0,1.0,10.9412,8,178,0.043,0.4706
11,functionalities,23,1,22,0.0435,1,22,0.0435,1.0,23,0,1.0,23.0,0,23,0.0,0.0
12,fragment,6552,833,5719,0.1271,676,5876,0.1032,0.8115,6552,0,1.0,9.6923,239,6313,0.0365,0.3536
13,introduction,41,17,24,0.4146,15,26,0.3659,0.8824,41,0,1.0,2.7333,6,35,0.1463,0.4
14,aromatic,1145,56,1089,0.0489,47,1098,0.041,0.8393,1145,0,1.0,24.3617,32,1113,0.0279,0.6809
15,chloro,1840,213,1627,0.1158,151,1689,0.0821,0.7089,1840,0,1.0,12.1854,116,1724,0.063,0.7682
16,substituent,1384,121,1263,0.0874,101,1283,0.073,0.8347,1384,0,1.0,13.703,71,1313,0.0513,0.703
17,molecule,6007,331,5676,0.0551,265,5742,0.0441,0.8006,6007,0,1.0,22.6679,104,5903,0.0173,0.3925
18,overlay,265,62,203,0.234,52,213,0.1962,0.8387,265,0,1.0,5.0962,16,249,0.0604,0.3077
19,substitution,524,87,437,0.166,54,470,0.1031,0.6207,524,0,1.0,9.7037,38,486,0.0725,0.7037
20,based,3305,460,2845,0.1392,320,2985,0.0968,0.6957,3305,0,1.0,10.3281,192,3113,0.0581,0.6
21,cyclisation,33,3,30,0.0909,3,30,0.0909,1.0,33,0,1.0,11.0,3,30,0.0909,1.0
22,urea,437,79,358,0.1808,57,380,0.1304,0.7215,437,0,1.0,7.6667,31,406,0.0709,0.5439
23,expansion,362,145,217,0.4006,138,224,0.3812,0.9517,362,0,1.0,2.6232,64,298,0.1768,0.4638
24,by-eye,1512,172,1340,0.1138,140,1372,0.0926,0.814,1512,0,1.0,10.8,36,1476,0.0238,0.2571
25,combination,471,48,423,0.1019,27,444,0.0573,0.5625,471,0,1.0,17.4444,19,452,0.0403,0.7037
26,easy,237,121,116,0.5105,79,158,0.3333,0.6529,237,0,1.0,3.0,56,181,0.2363,0.7089
27,derivatisation,5,0,5,0.0,0,5,0.0,0.0,5,0,1.0,0.0,0,5,0.0,0.0
28,amide,3253,420,2833,0.1291,305,2948,0.0938,0.7262,3253,0,1.0,10.6656,193,3060,0.0593,0.6328
29,sar,2241,304,1937,0.1357,250,1991,0.1116,0.8224,2241,0,1.0,8.964,162,2079,0.0723,0.648
30,aliphatic,79,1,78,0.0127,1,78,0.0127,1.0,79,0,1.0,79.0,1,78,0.0127,1.0
31,polar,212,9,203,0.0425,4,208,0.0189,0.4444,212,0,1.0,53.0,4,208,0.0189,1.0
32,phenyl,363,84,279,0.2314,43,320,0.1185,0.5119,363,0,1.0,8.4419,29,334,0.0799,0.6744
33,benzyl,163,9,154,0.0552,9,154,0.0552,1.0,163,0,1.0,18.1111,8,155,0.0491,0.8889
34,different,807,121,686,0.1499,96,711,0.119,0.7934,807,0,1.0,8.4062,60,747,0.0743,0.625
35,crystal,5162,181,4981,0.0351,131,5031,0.0254,0.7238,5162,0,1.0,39.4046,82,5080,0.0159,0.626
36,formation,1651,150,1501,0.0909,103,1548,0.0624,0.6867,1651,0,1.0,16.0291,66,1585,0.04,0.6408
37,readily,263,49,214,0.1863,31,232,0.1179,0.6327,263,0,1.0,8.4839,19,244,0.0722,0.6129
38,available,5477,330,5147,0.0603,289,5188,0.0528,0.8758,5477,0,1.0,18.9516,204,5273,0.0372,0.7059
39,conception,68,39,29,0.5735,24,44,0.3529,0.6154,68,0,1.0,2.8333,12,56,0.1765,0.5
40,analysis,227,54,173,0.2379,49,178,0.2159,0.9074,227,0,1.0,4.6327,24,203,0.1057,0.4898
41,pymol,30,2,28,0.0667,1,29,0.0333,0.5,30,0,1.0,30.0,0,30,0.0,0.0
42,central,80,3,77,0.0375,2,78,0.025,0.6667,80,0,1.0,40.0,1,79,0.0125,0.5
43,piperidine,288,39,249,0.1354,24,264,0.0833,0.6154,288,0,1.0,12.0,1,287,0.0035,0.0417
44,enable,141,25,116,0.1773,22,119,0.156,0.88,141,0,1.0,6.4091,13,128,0.0922,0.5909
45,pocket,1131,145,986,0.1282,102,1029,0.0902,0.7034,1131,0,1.0,11.0882,41,1090,0.0363,0.402
46,2-phenylethyl,20,9,11,0.45,0,20,0.0,0.0,20,0,1.0,0.0,0,20,0.0,0.0
47,important,160,10,150,0.0625,7,153,0.0438,0.7,160,0,1.0,22.8571,0,160,0.0,0.0
48,automated,1,1,0,1.0,0,1,0.0,0.0,1,0,1.0,0.0,0,1,0.0,0.0
