,term,N,N_ordered,N_not_ordered,freq_ordered (of total),N_made,N_not_made,freq_made (of total),freq_made (of ordered),N_crystallised,N_not_crystallised,freq_crystallised (of total),freq_crystallised (of made),N_assayed,N_not_assayed,freq_assayed (of total),freq_assayed (of made)
0,nitrile,623,24.0,599.0,0.0385,18.0,605.0,0.0289,0.75,4.0,619.0,0.0064,0.2222,18.0,605.0,0.0289,1.0
1,x0305,216,68.0,148.0,0.3148,39.0,177.0,0.1806,0.5735,6.0,210.0,0.0278,0.1538,39.0,177.0,0.1806,1.0
2,superimpose,56,13.0,43.0,0.2321,5.0,51.0,0.0893,0.3846,0.0,56.0,0.0,0.0,5.0,51.0,0.0893,1.0
3,x1249,188,34.0,154.0,0.1809,22.0,166.0,0.117,0.6471,4.0,184.0,0.0213,0.1818,22.0,166.0,0.117,1.0
4,x0434,375,77.0,298.0,0.2053,52.0,323.0,0.1387,0.6753,12.0,363.0,0.032,0.2308,52.0,323.0,0.1387,1.0
5,x0678,1455,63.0,1392.0,0.0433,48.0,1407.0,0.033,0.7619,13.0,1442.0,0.0089,0.2708,48.0,1407.0,0.033,1.0
6,x0830,94,20.0,74.0,0.2128,11.0,83.0,0.117,0.55,1.0,93.0,0.0106,0.0909,11.0,83.0,0.117,1.0
7,binding,1506,104.0,1402.0,0.0691,82.0,1424.0,0.0544,0.7885,14.0,1492.0,0.0093,0.1707,81.0,1425.0,0.0538,0.9878
8,mode,709,128.0,581.0,0.1805,103.0,606.0,0.1453,0.8047,7.0,702.0,0.0099,0.068,103.0,606.0,0.1453,1.0
9,incorporating,52,19.0,33.0,0.3654,18.0,34.0,0.3462,0.9474,0.0,52.0,0.0,0.0,18.0,34.0,0.3462,1.0
10,ethylamine,11,1.0,10.0,0.0909,1.0,10.0,0.0909,1.0,0.0,11.0,0.0,0.0,1.0,10.0,0.0909,1.0
11,structure,4884,300.0,4584.0,0.0614,219.0,4665.0,0.0448,0.73,27.0,4857.0,0.0055,0.1233,218.0,4666.0,0.0446,0.9954
12,x0072,227,31.0,196.0,0.1366,22.0,205.0,0.0969,0.7097,3.0,224.0,0.0132,0.1364,22.0,205.0,0.0969,1.0
13,x0387,80,12.0,68.0,0.15,12.0,68.0,0.15,1.0,1.0,79.0,0.0125,0.0833,12.0,68.0,0.15,1.0
14,maybe,74,9.0,65.0,0.1216,6.0,68.0,0.0811,0.6667,0.0,74.0,0.0,0.0,6.0,68.0,0.0811,1.0
15,merge,362,52.0,310.0,0.1436,21.0,341.0,0.058,0.4038,7.0,355.0,0.0193,0.3333,21.0,341.0,0.058,1.0
16,via,274,66.0,208.0,0.2409,60.0,214.0,0.219,0.9091,9.0,265.0,0.0328,0.15,60.0,214.0,0.219,1.0
17,heterocycle,140,7.0,133.0,0.05,5.0,135.0,0.0357,0.7143,0.0,140.0,0.0,0.0,5.0,135.0,0.0357,1.0
18,explore,215,33.0,182.0,0.1535,32.0,183.0,0.1488,0.9697,0.0,215.0,0.0,0.0,32.0,183.0,0.1488,1.0
19,pockets,189,26.0,163.0,0.1376,20.0,169.0,0.1058,0.7692,1.0,188.0,0.0053,0.05,20.0,169.0,0.1058,1.0
20,fragalysis,69,5.0,64.0,0.0725,4.0,65.0,0.058,0.8,4.0,65.0,0.058,1.0,3.0,66.0,0.0435,0.75
21,observation,12,0.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
22,overlap,180,36.0,144.0,0.2,16.0,164.0,0.0889,0.4444,2.0,178.0,0.0111,0.125,16.0,164.0,0.0889,1.0
23,functionalities,23,1.0,22.0,0.0435,1.0,22.0,0.0435,1.0,0.0,23.0,0.0,0.0,1.0,22.0,0.0435,1.0
24,fragment,5660,420.0,5240.0,0.0742,311.0,5349.0,0.0549,0.7405,129.0,5531.0,0.0228,0.4148,310.0,5350.0,0.0548,0.9968
25,introduction,38,15.0,23.0,0.3947,13.0,25.0,0.3421,0.8667,4.0,34.0,0.1053,0.3077,13.0,25.0,0.3421,1.0
26,aromatic,1059,45.0,1014.0,0.0425,23.0,1036.0,0.0217,0.5111,4.0,1055.0,0.0038,0.1739,23.0,1036.0,0.0217,1.0
27,chloro,1418,148.0,1270.0,0.1044,73.0,1345.0,0.0515,0.4932,19.0,1399.0,0.0134,0.2603,72.0,1346.0,0.0508,0.9863
28,substituent,941,65.0,876.0,0.0691,47.0,894.0,0.0499,0.7231,9.0,932.0,0.0096,0.1915,47.0,894.0,0.0499,1.0
29,molecule,4594,241.0,4353.0,0.0525,200.0,4394.0,0.0435,0.8299,33.0,4561.0,0.0072,0.165,199.0,4395.0,0.0433,0.995
30,overlay,127,30.0,97.0,0.2362,23.0,104.0,0.1811,0.7667,9.0,118.0,0.0709,0.3913,23.0,104.0,0.1811,1.0
31,x1093,340,27.0,313.0,0.0794,25.0,315.0,0.0735,0.9259,7.0,333.0,0.0206,0.28,25.0,315.0,0.0735,1.0
32,x0995,1422,39.0,1383.0,0.0274,24.0,1398.0,0.0169,0.6154,9.0,1413.0,0.0063,0.375,24.0,1398.0,0.0169,1.0
33,merging,384,63.0,321.0,0.1641,52.0,332.0,0.1354,0.8254,4.0,380.0,0.0104,0.0769,52.0,332.0,0.1354,1.0
34,x0540,103,6.0,97.0,0.0583,6.0,97.0,0.0583,1.0,1.0,102.0,0.0097,0.1667,6.0,97.0,0.0583,1.0
35,analogues,363,67.0,296.0,0.1846,58.0,305.0,0.1598,0.8657,12.0,351.0,0.0331,0.2069,58.0,305.0,0.1598,1.0
36,substitution,182,59.0,123.0,0.3242,32.0,150.0,0.1758,0.5424,9.0,173.0,0.0495,0.2812,32.0,150.0,0.1758,1.0
37,based,2714,314.0,2400.0,0.1157,233.0,2481.0,0.0859,0.742,26.0,2688.0,0.0096,0.1116,233.0,2481.0,0.0859,1.0
38,cyclisation,13,0.0,13.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
39,urea,356,70.0,286.0,0.1966,46.0,310.0,0.1292,0.6571,9.0,347.0,0.0253,0.1957,46.0,310.0,0.1292,1.0
40,expansion,307,99.0,208.0,0.3225,91.0,216.0,0.2964,0.9192,10.0,297.0,0.0326,0.1099,91.0,216.0,0.2964,1.0
41,x0874,51,6.0,45.0,0.1176,4.0,47.0,0.0784,0.6667,3.0,48.0,0.0588,0.75,4.0,47.0,0.0784,1.0
42,combining,202,39.0,163.0,0.1931,33.0,169.0,0.1634,0.8462,0.0,202.0,0.0,0.0,33.0,169.0,0.1634,1.0
43,fragments,4471,231.0,4240.0,0.0517,163.0,4308.0,0.0365,0.7056,118.0,4353.0,0.0264,0.7239,162.0,4309.0,0.0362,0.9939
44,by eye,1795,124.0,1671.0,0.0691,84.0,1711.0,0.0468,0.6774,16.0,1779.0,0.0089,0.1905,84.0,1711.0,0.0468,1.0
45,combination,416,27.0,389.0,0.0649,16.0,400.0,0.0385,0.5926,1.0,415.0,0.0024,0.0625,16.0,400.0,0.0385,1.0
46,easy,118,56.0,62.0,0.4746,34.0,84.0,0.2881,0.6071,7.0,111.0,0.0593,0.2059,34.0,84.0,0.2881,1.0
