,term,N,N_ordered,N_not_ordered,N_made,N_not_made,N_assayed,N_not_assayed,N_crystallised,N_not_crystallised,freq_ordered (of total),freq_made (of total),freq_assayed (of total),freq_crystallised (of total),freq_made (of ordered),freq_assayed (of made),freq_crystallised (of made),fisher_p_ordered,χ2_p_ordered,fisher_p_made,χ2_p_made,fisher_p_assayed,χ2_p_assayed,fisher_p_crystallised,χ2_p_crystallised,log2_freq_ordered (of total),log2_freq_made (of total),log2_freq_assayed (of total),log2_freq_crystallised (of total),log2_freq_made (of ordered),log2_freq_assayed (of made),log2_freq_crystallised (of made)
0,nitrile,623,24.0,599.0,18.0,605.0,18.0,605.0,4.0,619.0,0.0385,0.0289,0.0289,0.0064,0.75,1.0,0.2222,9.770912044490076e-11,0.0,2.8819342487795347e-08,0.0,5.3828681872189785e-08,0.0,0.05016620167073135,0.0,-1.6603988171314645,-1.6372516230137686,-1.6097091630568419,-1.4008794362821841,0.02248804262483142,0.027674958442848226,0.23652914071399558
1,x0305,216,68.0,148.0,39.0,177.0,39.0,177.0,6.0,210.0,0.3148,0.1806,0.1806,0.0278,0.5735,1.0,0.1538,6.558693861393085e-10,0.0,0.00021901467861113946,0.0,0.00018741185852180344,0.0,0.28106576047921394,0.0,1.371106372793758,1.0064048719664112,1.0339473319233379,0.718061636441323,-0.3646090667425867,0.027674958442848226,-0.2942741727132701
2,superimpose,56,13.0,43.0,5.0,51.0,5.0,51.0,0.0,56.0,0.2321,0.0893,0.0893,0.0,0.3846,1.0,0.0,0.04906259379306057,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9314173546307539,-0.009660940393224243,0.01788151956370236,-inf,-0.941043790305877,0.027674958442848226,-inf
3,x1249,188,34.0,154.0,22.0,166.0,22.0,166.0,4.0,184.0,0.1809,0.117,0.117,0.0213,0.6471,1.0,0.1818,0.03911636086598819,0.0,0.25468542610408784,0.0,0.20383270929207165,0.0,0.566023800086798,0.0,0.5718632399075125,0.3801155089563198,0.40765796891324646,0.33383018394365394,-0.1904138757641639,0.027674958442848226,-0.05297747648098947
4,x0434,375,77.0,298.0,52.0,323.0,52.0,323.0,12.0,363.0,0.2053,0.1387,0.1387,0.032,0.6753,1.0,0.2308,9.387903476755873e-05,0.0,0.0057785232290846434,0.0,0.004070304533328773,0.0,0.04312658703999017,0.0,0.7544044593948737,0.6255747668091555,0.6531172267660821,0.9210486586051781,-0.12887399547046222,0.027674958442848226,0.2913135479703859
5,x0678,1455,63.0,1392.0,48.0,1407.0,48.0,1407.0,13.0,1442.0,0.0433,0.033,0.033,0.0089,0.7619,1.0,0.2708,1.0542022604583031e-19,0.0,1.4750667163974136e-14,0.0,4.844727901122833e-14,0.0,0.021010178280374756,0.0,-1.4908902379870037,-1.4458550912686314,-1.4183126313117047,-0.9251460053157865,0.045199102252731646,0.027674958442848226,0.5218980628999002
6,x0830,94,20.0,74.0,11.0,83.0,11.0,83.0,1.0,93.0,0.2128,0.117,0.117,0.0106,0.55,1.0,0.0909,0.03287196854568582,0.0,0.37410177350427976,0.0,0.3675359404685272,0.0,1.0,0.0,0.8061689827874611,0.3801155089563198,0.40765796891324646,-0.6729589817189849,-0.4249709343463896,0.027674958442848226,-1.0529774764809894
7,binding,1506,104.0,1402.0,82.0,1424.0,81.0,1425.0,14.0,1492.0,0.0691,0.0544,0.0538,0.0093,0.7885,0.9878,0.1707,8.619667055774175e-09,0.0,6.923763278541757e-06,0.0,9.418230915921543e-06,0.0,0.02365693728892159,0.0,-0.8165715523254699,-0.7247144642641079,-0.7131724830008965,-0.8617206251741528,0.09470820203209858,0.009965832271843042,-0.14386661764735856
8,mode,709,128.0,581.0,103.0,606.0,103.0,606.0,7.0,702.0,0.1805,0.1453,0.1453,0.0099,0.8047,1.0,0.068,0.0001448088785937313,0.0,3.1647555323087594e-05,0.0,1.5268607089290365e-05,0.0,0.1749817710479495,0.0,0.5686696690608048,0.692641682118394,0.7201841420753209,-0.7715228162025745,0.12404847970958265,0.027674958442848226,-1.4717230245373947
9,incorporating,52,19.0,33.0,18.0,34.0,18.0,34.0,0.0,52.0,0.3654,0.3462,0.3462,0.0,0.9474,1.0,0.0,0.00015743046001015048,0.0,1.159945741436611e-05,0.0,9.13108383404547e-06,0.0,1.0,0.0,1.5861474659137602,1.9452127038521914,1.972755163809118,-inf,0.3595711189356191,0.027674958442848226,-inf
